#BranStark
#Time, luminosity, temperature, and frequency, measured in TDE restframe and corrected for Galactic extinction
#The flux (in Jy) is not corrected for Galactic extiction
#nu_kc=6.289e+14 Hz, t_peak=58603.87 MJD
#
| day_since_peak |   band |     flux_Jy |     nu_rest |         lum |     err_lum |      lum_kc |      lum_bb |        T_bb |
|          15.55 |   UVW2 | 5.21871e-04 | 1.56908e+15 | 9.47917e+43 | 2.61919e+42 | 1.46021e+43 | 1.95560e+44 | 3.25256e+04 |
|          19.23 |   UVW2 | 4.67265e-04 | 1.56908e+15 | 8.48731e+43 | 4.69026e+42 | 1.34401e+43 | 1.68755e+44 | 3.16830e+04 |
|          22.20 |   UVW2 | 4.22243e-04 | 1.56908e+15 | 7.66956e+43 | 3.53196e+42 | 1.23930e+43 | 1.48670e+44 | 3.10971e+04 |
|          25.17 |   UVW2 | 4.14537e-04 | 1.56908e+15 | 7.52957e+43 | 3.46750e+42 | 1.24139e+43 | 1.42490e+44 | 3.05376e+04 |
|          28.24 |   UVW2 | 4.14537e-04 | 1.56908e+15 | 7.52957e+43 | 3.46750e+42 | 1.27260e+43 | 1.38554e+44 | 2.98776e+04 |
|          28.33 |   UVW2 | 4.38090e-04 | 1.56908e+15 | 7.95738e+43 | 4.39741e+42 | 1.34589e+43 | 1.46309e+44 | 2.98586e+04 |
|          30.66 |   UVW2 | 3.92250e-04 | 1.56908e+15 | 7.12476e+43 | 3.28107e+42 | 1.22229e+43 | 1.29023e+44 | 2.94961e+04 |
|          30.85 |   UVW2 | 3.85091e-04 | 1.56908e+15 | 6.99472e+43 | 3.22119e+42 | 1.20032e+43 | 1.26631e+44 | 2.94891e+04 |
|          34.23 |   UVW2 | 3.74596e-04 | 1.56908e+15 | 6.80409e+43 | 2.50672e+42 | 1.17196e+43 | 1.22702e+44 | 2.93957e+04 |
|          36.69 |   UVW2 | 3.61046e-04 | 1.56908e+15 | 6.55798e+43 | 2.41605e+42 | 1.13307e+43 | 1.17885e+44 | 2.93186e+04 |
|          39.54 |   UVW2 | 3.57736e-04 | 1.56908e+15 | 6.49786e+43 | 2.39390e+42 | 1.12577e+43 | 1.16474e+44 | 2.92505e+04 |
|          42.74 |   UVW2 | 3.14458e-04 | 1.56908e+15 | 5.71176e+43 | 3.15644e+42 | 9.94040e+42 | 1.01915e+44 | 2.91398e+04 |
|          47.29 |   UVW2 | 2.86789e-04 | 1.56908e+15 | 5.20919e+43 | 3.35849e+42 | 9.11347e+42 | 9.24584e+43 | 2.90119e+04 |
|          47.64 |   UVW2 | 3.08719e-04 | 1.56908e+15 | 5.60751e+43 | 2.58236e+42 | 9.80982e+42 | 9.95334e+43 | 2.90131e+04 |
