#BranStark
#Time, luminosity, temperature, and frequency, measured in TDE restframe and corrected for Galactic extinction
#The flux (in Jy) is not corrected for Galactic extiction
#nu_kc=6.289e+14 Hz, t_peak=58603.87 MJD
#day_since_peak	band 	flux_Jy     	nu_rest     	lum         	err_lum     	lum_kc      	lum_bb      	T_bb        
1.554514e+01	UVW2 	5.218707e-04	1.569084e+15	9.479170e+43	2.619191e+42	1.357632e+43	2.184396e+44	3.501614e+04
1.923147e+01	UVW2 	4.715882e-04	1.569084e+15	8.565847e+43	4.733662e+42	1.259825e+43	1.891430e+44	3.405970e+04
2.220333e+01	UVW2 	4.261504e-04	1.569084e+15	7.740523e+43	3.564643e+42	1.161010e+43	1.659033e+44	3.338951e+04
2.516893e+01	UVW2 	4.145366e-04	1.569084e+15	7.529572e+43	3.467496e+42	1.154951e+43	1.562634e+44	3.266038e+04
2.824098e+01	UVW2 	4.183723e-04	1.569084e+15	7.599243e+43	3.499581e+42	1.194149e+43	1.526220e+44	3.191311e+04
2.833259e+01	UVW2 	4.380896e-04	1.569084e+15	7.957384e+43	4.397413e+42	1.251404e+43	1.596509e+44	3.188962e+04
3.066201e+01	UVW2 	3.958794e-04	1.569084e+15	7.190686e+43	3.311433e+42	1.147579e+43	1.415599e+44	3.145435e+04
3.085397e+01	UVW2 	3.886538e-04	1.569084e+15	7.059441e+43	3.250993e+42	1.126911e+43	1.389327e+44	3.144716e+04
3.423455e+01	UVW2 	3.780619e-04	1.569084e+15	6.867052e+43	2.529915e+42	1.102116e+43	1.342359e+44	3.129123e+04
3.669446e+01	UVW2 	3.643870e-04	1.569084e+15	6.618664e+43	2.438406e+42	1.066544e+43	1.287346e+44	3.117556e+04
3.953623e+01	UVW2 	3.577362e-04	1.569084e+15	6.497859e+43	2.393900e+42	1.050638e+43	1.258587e+44	3.107894e+04
4.274070e+01	UVW2 	3.173678e-04	1.569084e+15	5.764615e+43	3.185644e+42	9.356037e+42	1.111442e+44	3.097233e+04
4.729105e+01	UVW2 	2.894429e-04	1.569084e+15	5.257391e+43	3.389565e+42	8.612812e+42	1.002377e+44	3.071220e+04
4.763694e+01	UVW2 	3.115752e-04	1.569084e+15	5.659399e+43	2.606250e+42	9.274676e+42	1.078572e+44	3.070243e+04
6.781845e+01	UVW2 	2.257163e-04	1.569084e+15	4.099872e+43	2.643285e+42	6.813000e+42	7.688319e+43	3.032414e+04
6.857556e+01	UVW2 	2.096829e-04	1.569084e+15	3.808643e+43	2.455523e+42	6.323846e+42	7.148903e+43	3.034621e+04
7.273722e+01	UVW2 	1.965907e-04	1.569084e+15	3.570839e+43	1.644432e+42	5.905296e+42	6.733478e+43	3.045426e+04
8.536076e+01	UVW2 	1.680981e-04	1.569084e+15	3.053306e+43	1.968539e+42	4.991650e+42	5.835800e+43	3.076959e+04
8.706921e+01	UVW2 	1.286954e-04	1.569084e+15	2.337601e+43	2.153010e+42	3.818472e+42	4.472216e+43	3.079224e+04
9.080007e+01	UVW2 	1.240403e-04	1.569084e+15	2.253047e+43	1.660107e+42	3.669417e+42	4.325836e+43	3.087514e+04
9.478994e+01	UVW2 	1.464074e-04	1.569084e+15	2.659318e+43	1.714526e+42	4.332006e+42	5.104574e+43	3.086923e+04
9.851126e+01	UVW2 	1.263464e-04	1.569084e+15	2.294935e+43	1.690970e+42	3.757826e+42	4.378021e+43	3.072544e+04
1.036248e+02	UVW2 	1.012891e-04	1.569084e+15	1.839799e+43	1.355614e+42	3.007596e+42	3.516654e+43	3.077116e+04
