MJD, L_ergs, eL_ergs, R_cm, eR_cm, T_K, eT_K 
58582.920894, 44.16, 0.15, 14.32, 0.06, 4.67, 0.06
58583.920894, 44.22, 0.14, 14.35, 0.06, 4.67, 0.05
58593.920894, 44.58, 0.09, 14.57, 0.04, 4.64, 0.04
58594.920894, 44.59, 0.09, 14.58, 0.04, 4.64, 0.03
58600.920894, 44.56, 0.08, 14.59, 0.03, 4.63, 0.03
58601.920894, 44.54, 0.08, 14.59, 0.03, 4.63, 0.03
58606.920894, 44.49, 0.07, 14.58, 0.03, 4.62, 0.03
58607.920894, 44.48, 0.07, 14.57, 0.03, 4.62, 0.03
58614.920894, 44.40, 0.06, 14.56, 0.02, 4.61, 0.02
58615.920894, 44.39, 0.05, 14.56, 0.02, 4.60, 0.02
58616.920894, 44.38, 0.05, 14.56, 0.02, 4.60, 0.02
58617.920894, 44.37, 0.05, 14.56, 0.02, 4.60, 0.02
58618.920894, 44.36, 0.05, 14.56, 0.02, 4.60, 0.02
58619.920894, 44.35, 0.05, 14.55, 0.02, 4.60, 0.02
58621.920894, 44.33, 0.05, 14.55, 0.02, 4.59, 0.02
58622.920894, 44.32, 0.05, 14.55, 0.02, 4.59, 0.02
58623.920894, 44.32, 0.05, 14.55, 0.02, 4.59, 0.02
58625.920894, 44.30, 0.04, 14.55, 0.02, 4.59, 0.02
58626.920894, 44.29, 0.04, 14.55, 0.02, 4.59, 0.02
58627.920894, 44.28, 0.04, 14.55, 0.02, 4.58, 0.02
58628.920894, 44.27, 0.04, 14.55, 0.02, 4.58, 0.02
58629.920894, 44.26, 0.04, 14.54, 0.02, 4.58, 0.02
58630.920894, 44.26, 0.04, 14.54, 0.02, 4.58, 0.02
58631.920894, 44.25, 0.04, 14.54, 0.02, 4.58, 0.02
58632.920894, 44.24, 0.04, 14.54, 0.02, 4.58, 0.02
58633.920894, 44.23, 0.04, 14.54, 0.02, 4.57, 0.02
58634.920894, 44.22, 0.04, 14.54, 0.02, 4.57, 0.02
58635.920894, 44.22, 0.04, 14.53, 0.02, 4.57, 0.02
58637.920894, 44.20, 0.04, 14.52, 0.02, 4.58, 0.02
58638.920894, 44.19, 0.04, 14.52, 0.02, 4.58, 0.02
58639.920894, 44.19, 0.04, 14.51, 0.02, 4.58, 0.02
58640.920894, 44.18, 0.04, 14.51, 0.02, 4.58, 0.02
58641.920894, 44.17, 0.03, 14.50, 0.02, 4.58, 0.02
58642.920894, 44.16, 0.03, 14.50, 0.02, 4.58, 0.02
58643.920894, 44.16, 0.03, 14.49, 0.02, 4.58, 0.02
58644.920894, 44.15, 0.03, 14.49, 0.02, 4.58, 0.02
58645.920894, 44.14, 0.03, 14.49, 0.02, 4.58, 0.02
58646.920894, 44.13, 0.03, 14.48, 0.02, 4.58, 0.02
58647.920894, 44.13, 0.03, 14.48, 0.02, 4.58, 0.02
58648.920894, 44.12, 0.03, 14.47, 0.02, 4.58, 0.02
58649.920894, 44.11, 0.03, 14.47, 0.02, 4.58, 0.02
58650.920894, 44.11, 0.03, 14.46, 0.02, 4.58, 0.02
58651.920894, 44.10, 0.03, 14.46, 0.02, 4.58, 0.02
58653.920894, 44.09, 0.03, 14.45, 0.02, 4.58, 0.02
58654.920894, 44.08, 0.03, 14.45, 0.02, 4.58, 0.02
58657.920894, 44.06, 0.03, 14.44, 0.02, 4.58, 0.02
58658.920894, 44.05, 0.03, 14.43, 0.02, 4.59, 0.02
58659.920894, 44.05, 0.03, 14.43, 0.02, 4.59, 0.02
58660.920894, 44.04, 0.03, 14.42, 0.02, 4.59, 0.02
58661.920894, 44.03, 0.03, 14.42, 0.02, 4.59, 0.02
58662.920894, 44.03, 0.03, 14.41, 0.02, 4.59, 0.02
58664.920894, 44.01, 0.03, 14.41, 0.02, 4.59, 0.02
58665.920894, 44.01, 0.04, 14.40, 0.02, 4.59, 0.02
58670.920894, 43.98, 0.04, 14.38, 0.02, 4.59, 0.02
58671.920894, 43.97, 0.04, 14.37, 0.02, 4.59, 0.02
58672.920894, 43.96, 0.04, 14.37, 0.02, 4.59, 0.02
58675.920894, 43.95, 0.04, 14.35, 0.02, 4.60, 0.02
58676.920894, 43.94, 0.04, 14.35, 0.02, 4.60, 0.02
58683.920894, 43.90, 0.04, 14.32, 0.02, 4.60, 0.02
58684.920894, 43.90, 0.04, 14.31, 0.02, 4.60, 0.02
58686.920894, 43.89, 0.04, 14.30, 0.02, 4.61, 0.02
58687.920894, 43.88, 0.04, 14.30, 0.02, 4.61, 0.02
58688.920894, 43.87, 0.04, 14.29, 0.02, 4.61, 0.02
58689.920894, 43.87, 0.04, 14.29, 0.02, 4.61, 0.02
58690.920894, 43.86, 0.04, 14.28, 0.02, 4.61, 0.02
58691.920894, 43.86, 0.04, 14.28, 0.02, 4.61, 0.02
