|     date |        mjd |   nu_GHz |    inst | flux_mJy | eflux_mJy |
| 17/10/08 |    58034.0 |      3.0 |     VLA |     0.33 |      -1.0 |
| 19/05/21 |  58624.255 |     15.5 |     AMI |    0.464 |   0.03872 |
| 19/05/22 |    58625.0 |   11.511 |     VLA |    0.412 |     0.031 |
| 19/05/22 |    58625.0 |   10.487 |     VLA |     0.44 |     0.028 |
| 19/05/22 |    58625.0 | 8.487001 |     VLA |     0.29 |     0.028 |
| 19/05/22 |    58625.0 | 9.511001 |     VLA |    0.408 |     0.029 |
| 19/06/03 |    58637.0 |     5.07 | eMERLIN |      0.1 |      -1.0 |
| 19/06/19 |    58653.0 |   11.511 |     VLA |    0.771 |     0.034 |
| 19/06/19 |    58653.0 | 9.511001 |     VLA |     0.73 |     0.029 |
| 19/06/19 |    58653.0 | 8.487001 |     VLA |     0.68 |      0.03 |
| 19/06/19 |    58653.0 | 7.511001 |     VLA |    0.558 |      0.03 |
| 19/06/19 |    58653.0 | 6.487001 |     VLA |    0.443 |      0.03 |
| 19/06/19 |    58653.0 | 5.511001 |     VLA |    0.324 |     0.029 |
| 19/06/19 |    58653.0 | 4.487001 |     VLA |    0.319 |     0.037 |
| 19/06/19 |    58653.0 | 3.499001 |     VLA |    0.103 |     0.028 |
| 19/06/19 |    58653.0 |   10.487 |     VLA |    0.756 |      0.03 |
| 19/06/19 |   58653.08 |      1.4 | MeerKAT |    0.104 |     0.018 |
| 19/06/20 |    58654.0 |     5.07 | eMERLIN |    0.354 |     0.023 |
| 19/06/20 | 58654.0824 |     15.5 |     AMI |     0.73 |  0.066844 |
| 19/07/30 |    58694.0 |      1.4 | MeerKAT |    0.111 |     0.017 |
| 19/08/07 | 58702.0811 |     15.5 |     AMI |    0.978 |  0.056852 |
| 19/08/08 |    58703.0 | 6.687001 |     VLA |    0.987 |      0.03 |
| 19/08/08 |    58703.0 | 3.691001 |     VLA |    0.419 |     0.037 |
| 19/08/08 |    58703.0 | 3.179001 |     VLA |    0.255 |     0.047 |
| 19/08/08 |    58703.0 | 2.755001 |     VLA |    0.345 |      0.05 |
| 19/08/08 |    58703.0 | 4.737001 |     VLA |    0.698 |      0.03 |
| 19/08/08 |    58703.0 | 7.711001 |     VLA |    1.117 |      0.03 |
| 19/08/08 |    58703.0 |    2.243 |     VLA |    0.249 |     0.064 |
| 19/08/08 |    58703.0 | 5.761001 |     VLA |    0.829 |     0.033 |
| 19/08/08 |    58703.0 |   11.161 |     VLA |    1.356 |     0.032 |
| 19/08/08 |    58703.0 |   10.137 |     VLA |     1.31 |     0.032 |
| 19/08/08 |    58703.0 | 9.511001 |     VLA |    1.238 |      0.03 |
| 19/08/08 |    58703.0 | 8.487001 |     VLA |    1.194 |     0.031 |
| 19/10/05 |    58761.0 |   11.161 |     VLA |    0.785 |      0.03 |
| 19/10/05 |    58761.0 |   10.137 |     VLA |    0.884 |     0.029 |
| 19/10/05 |    58761.0 | 9.511001 |     VLA |    0.921 |     0.028 |
| 19/10/05 |    58761.0 | 6.687001 |     VLA |    1.285 |      0.03 |
| 19/10/05 |    58761.0 | 7.711001 |     VLA |    1.111 |     0.028 |
| 19/10/05 |    58761.0 | 5.761001 |     VLA |    1.379 |      0.03 |
| 19/10/05 |    58761.0 | 4.737001 |     VLA |    1.349 |     0.029 |
| 19/10/05 |    58761.0 | 3.755001 |     VLA |    1.032 |     0.036 |
| 19/10/05 |    58761.0 | 3.243001 |     VLA |     0.92 |     0.034 |
| 19/10/05 |    58761.0 |    2.755 |     VLA |    0.744 |     0.039 |
| 19/10/05 |    58761.0 | 8.487001 |     VLA |    1.074 |      0.03 |
| 19/10/05 |    58761.0 |    2.243 |     VLA |    0.351 |     0.052 |
| 19/10/05 |   58761.79 |      1.4 | MeerKAT |    0.152 |     0.019 |
| 19/10/05 | 58761.8307 |     15.5 |     AMI |    0.676 |  0.043891 |
| 19/11/30 |    58817.5 |      1.4 | MeerKAT |    0.178 |     0.032 |
| 19/12/01 | 58818.7579 |     15.5 |     AMI |    0.503 |  0.039147 |
