# date,jdobs,filter,absmag,magpsf,sigmamagpsf,limmag,instrument,programid,reducedby,refsys,issub,isdiffpos
"2019 Apr 01",2458574.9859,"r", 99.0, 99.0,99.0, 17.79,"P48+ZTF","1","None","None",True,True
"2019 Apr 01",2458575.0250,"g", 99.0, 99.0,99.0, 17.92,"P48+ZTF","1","None","None",True,True
"2019 Apr 09",2458582.9648,"r", -17.86, 18.88,0.14, 20.02,"P48+ZTF","1","None","None",True,True
"2019 Apr 09",2458582.9648,"r", -17.86, 18.88,0.14, 20.02,"P48+ZTF","1","None","None",True,True
"2019 Apr 20",2458593.9459,"r", -18.44, 18.30,0.09, 19.24,"P48+ZTF","1","None","None",True,True
"2019 Apr 20",2458593.9459,"r", -18.44, 18.30,0.09, 19.24,"P48+ZTF","1","None","None",True,True
"2019 Apr 28",2458601.9897,"r", -18.72, 18.02,0.07, 20.29,"P48+ZTF","1","None","None",True,True
"2019 Apr 28",2458601.9897,"r", -18.72, 18.02,0.07, 20.29,"P48+ZTF","1","None","None",True,True
"2019 May 04",2458607.9696,"g", -18.90, 17.85,0.06, 20.92,"P48+ZTF","1","None","None",True,True
"2019 May 04",2458607.9696,"g", -18.90, 17.85,0.06, 20.92,"P48+ZTF","1","None","None",True,True
"2019 May 04",2458607.9853,"r", -18.78, 17.96,0.07, 20.68,"P48+ZTF","1","None","None",True,True
"2019 May 13",2458616.9918,"r", -18.90, 17.84,0.01, 21.47,"P60+SEDM","None","Fremling Automated Pipeline PS1","PS1",True,True
"2019 May 14",2458617.9627,"g", -18.87, 17.87,0.06, 20.84,"P48+ZTF","1","None","None",True,True
"2019 May 15",2458618.7197,"g", -18.84, 17.90,0.01, 21.83,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 15",2458618.7208,"r", -18.70, 18.04,0.02, 21.58,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 15",2458618.7218,"i", -18.69, 18.05,0.02, 21.06,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 15",2458618.7229,"z", -18.73, 18.02,0.03, 20.43,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 17",2458620.6759,"UVW2", -19.55, 17.19,0.06, 20.95,"Swift+UVOT","None","Suvi Gezari","None",False,True
"2019 May 20",2458623.7067,"g", -18.81, 17.93,0.01, 20.88,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 20",2458623.7078,"r", -18.62, 18.12,0.02, 22.19,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 20",2458623.7089,"i", -18.67, 18.07,0.01, 21.05,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 20",2458623.7099,"z", -18.65, 18.09,0.02, 20.88,"LT+IOO","None","Taggart Automated Pipeline","PS1",True,True
"2019 May 21",2458624.5819,"UVW2", -19.46, 17.28,0.06, 21.02,"Swift+UVOT","None","None","None",False,True
"2019 May 24",2458627.7029,"UVW2", -19.36, 17.38,0.06, 21.12,"Swift+UVOT","None","None","None",False,True
"2019 May 25",2458628.9032,"r", -18.74, 18.01,0.08, 19.86,"P48+ZTF","1","None","None",True,True
"2019 May 25",2458628.9606,"g", -18.79, 17.96,0.08, 19.84,"P48+ZTF","1","None","None",True,True
